Title,Body,Labels,Assignees,Milestone
Ensure that the design and architecture for the USB T-Shirt project is evolutionary and supports consistent deliverables that delight the readers.,Ensure that the design and architecture for the USB T-Shirt project is evolutionary and supports consistent deliverables that delight the readers.,"Chapter Design and Architecture,Key Result 4,Level 1",,Chapter - Design and Architecture Completion
Use ChatGPT to summarize the existing literature and best practices on software engineering design and architecture related to Python.,Use ChatGPT to summarize the existing literature and best practices on software engineering design and architecture related to Python.,"Chapter Design and Architecture,Key Initiative 1,Level 1",,Chapter - Design and Architecture Completion
Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on design and architecture with ChatGPT.,Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on design and architecture with ChatGPT.,"Chapter Design and Architecture,Key Initiative 3,Level 1",,Chapter - Design and Architecture Completion
Use ChatGPT to analyze the design and architecture to come up with design and architecture documents along with roadmap for deliverables.,Use ChatGPT to analyze the design and architecture to come up with design and architecture documents along with roadmap for deliverables.,"Chapter Design and Architecture,Key Initiative 4,Level 1",,Chapter - Design and Architecture Completion
"Provide at least three examples of how ChatGPT can be used to generate and modify Python code for the USB T-Shirt launcher project, such as controlling the pan and tilt of the turret, detecting faces using OpenCV, and firing nerf darts.","Provide at least three examples of how ChatGPT can be used to generate and modify Python code for the USB T-Shirt launcher project, such as controlling the pan and tilt of the turret, detecting faces using OpenCV, and firing nerf darts.","Chapter Implementation,Key Result 1,Level 1",,Chapter - Implementation Completion
"Provide at least two exercises for the readers to practice using ChatGPT to write and edit Python code for the USB T-Shirt launcher project, based on the design and architecture and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to write and edit Python code for the USB T-Shirt launcher project, based on the design and architecture and feedback.","Chapter Implementation,Key Result 2,Level 1",,Chapter - Implementation Completion
Ensure that the code and examples in the chapter are functional.,Ensure that the code and examples in the chapter are functional.,"Chapter Implementation,Key Result 3,Level 1",,Chapter - Implementation Completion
Research and review the existing literature and best practices on Python programming and OpenCV library.,Research and review the existing literature and best practices on Python programming and OpenCV library.,"Chapter Implementation,Key Initiative 1,Level 1",,Chapter - Implementation Completion
"Use ChatGPT to generate realistic and relevant examples of Python code for the USB T-Shirt launcher project, based on the design and architecture and feedback.","Use ChatGPT to generate realistic and relevant examples of Python code for the USB T-Shirt launcher project, based on the design and architecture and feedback.","Chapter Implementation,Key Initiative 2,Level 1",,Chapter - Implementation Completion
Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on Python programming with ChatGPT.,Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on Python programming with ChatGPT.,"Chapter Implementation,Key Initiative 3,Level 1",,Chapter - Implementation Completion
"Use ChatGPT to generate code metrics, quality indicators, tests, and test cases for the code and examples in the chapter and use them to assess and improve their quality and effectiveness.","Use ChatGPT to generate code metrics, quality indicators, tests, and test cases for the code and examples in the chapter and use them to assess and improve their quality and effectiveness.","Chapter Implementation,Key Initiative 4,Level 1",,Chapter - Implementation Completion
"Provide at least three examples of how ChatGPT can be used to generate and review PRs for the USB T-Shirt launcher project, such as creating PR templates, checking PR quality, providing PR feedback, etc.","Provide at least three examples of how ChatGPT can be used to generate and review PRs for the USB T-Shirt launcher project, such as creating PR templates, checking PR quality, providing PR feedback, etc.","Chapter Pull Review,Key Result 1,Level 1",,Chapter - Pull Review Completion
"Provide at least two exercises for the readers to practice using ChatGPT to create and review PRs for the USB T-Shirt launcher project, based on the code changes and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to create and review PRs for the USB T-Shirt launcher project, based on the code changes and feedback.","Chapter Pull Review,Key Result 2,Level 1",,Chapter - Pull Review Completion
"Ensure that the PRs and commit messages in the chapter are clear, concise, consistent, informative, and relevant, as measured by PR metrics, quality indicators, feedback, and reviews.","Ensure that the PRs and commit messages in the chapter are clear, concise, consistent, informative, and relevant, as measured by PR metrics, quality indicators, feedback, and reviews.","Chapter Pull Review,Key Result 3,Level 1",,Chapter - Pull Review Completion
Use ChatGPT to research and review the existing literature and best practices on PRs and commit messages.,Use ChatGPT to research and review the existing literature and best practices on PRs and commit messages.,"Chapter Pull Review,Key Initiative 1,Level 1",,Chapter - Pull Review Completion
"Use ChatGPT to generate realistic and relevant examples of PRs and commit messages for the USB T-Shirt launcher project, based on the code changes and feedback.","Use ChatGPT to generate realistic and relevant examples of PRs and commit messages for the USB T-Shirt launcher project, based on the code changes and feedback.","Chapter Pull Review,Key Initiative 2,Level 1",,Chapter - Pull Review Completion
Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on PRs and commit messages with ChatGPT.,Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on PRs and commit messages with ChatGPT.,"Chapter Pull Review,Key Initiative 3,Level 1",,Chapter - Pull Review Completion
"Use ChatGPT to generate PR metrics, quality indicators, feedback, and reviews for the PRs and commit messages in the chapter and use them to assess and improve their quality and effectiveness.","Use ChatGPT to generate PR metrics, quality indicators, feedback, and reviews for the PRs and commit messages in the chapter and use them to assess and improve their quality and effectiveness.","Chapter Pull Review,Key Initiative 4,Level 1",,Chapter - Pull Review Completion
"Provide at least three examples of how ChatGPT can be used to generate and modify Python code for the USB T-Shirt launcher project, following the SOLID principles of single responsibility, open-closed, Liskov substitution, interface segregation, and dependency inversion.","Provide at least three examples of how ChatGPT can be used to generate and modify Python code for the USB T-Shirt launcher project, following the SOLID principles of single responsibility, open-closed, Liskov substitution, interface segregation, and dependency inversion.","Chapter SOLID principles,Key Result 1,Level 1",,Chapter - SOLID Principles Completion
"Provide at least two exercises for the readers to practice using ChatGPT to write and edit Python code for the USB T-Shirt launcher project, based on the SOLID principles and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to write and edit Python code for the USB T-Shirt launcher project, based on the SOLID principles and feedback.","Chapter SOLID principles,Key Result 2,Level 1",,Chapter - SOLID Principles Completion
"Ensure that the code and examples in the chapter are readable, reliable, efficient, and functional as measured by code metrics, quality indicators, tests, and test cases.","Ensure that the code and examples in the chapter are readable, reliable, efficient, and functional as measured by code metrics, quality indicators, tests, and test cases.","Chapter SOLID principles,Key Result 3,Level 1",,Chapter - SOLID Principles Completion
Research and review the existing literature and best practices on SOLID principles and their applications in Python programming using ChatGPT.,Research and review the existing literature and best practices on SOLID principles and their applications in Python programming using ChatGPT.,"Chapter SOLID principles,Key Initiative 1,Level 1",,Chapter - SOLID Principles Completion
"Use ChatGPT to generate realistic and relevant examples of Python code for the USB T-Shirt launcher project, following the SOLID principles and feedback.","Use ChatGPT to generate realistic and relevant examples of Python code for the USB T-Shirt launcher project, following the SOLID principles and feedback.","Chapter SOLID principles,Key Initiative 2,Level 1",,Chapter - SOLID Principles Completion
Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on coding with SOLID principles with ChatGPT.,Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on coding with SOLID principles with ChatGPT.,"Chapter SOLID principles,Key Initiative 3,Level 1",,Chapter - SOLID Principles Completion
"Use ChatGPT to generate code metrics, quality indicators to see the improvements based on using SOLID principles.","Use ChatGPT to generate code metrics, quality indicators to see the improvements based on using SOLID principles.","Chapter SOLID principles,Key Initiative 4,Level 1",,Chapter - SOLID Principles Completion
"Provide at least three examples of how ChatGPT can be used to generate and run different types of tests for the USB T-Shirt launcher project, such as unit tests, integration tests, system tests, etc.","Provide at least three examples of how ChatGPT can be used to generate and run different types of tests for the USB T-Shirt launcher project, such as unit tests, integration tests, system tests, etc.","Chapter Testing,Key Result 1,Level 1",,Chapter - Testing Completion
"Provide at least two exercises for the readers to practice using ChatGPT to create and execute tests for the USB T-Shirt launcher project, based on the code changes and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to create and execute tests for the USB T-Shirt launcher project, based on the code changes and feedback.","Chapter Testing,Key Result 2,Level 1",,Chapter - Testing Completion
"Ensure that the code and examples in the chapter are readable, reliable, efficient, functional, performant, and secure, as measured by code metrics, quality indicators, tests, and test cases.","Ensure that the code and examples in the chapter are readable, reliable, efficient, functional, performant, and secure, as measured by code metrics, quality indicators, tests, and test cases.","Chapter Testing,Key Result 3,Level 1",,Chapter - Testing Completion
"Provide at least three examples of how ChatGPT can be used to generate and modify Dockerfiles and GitHub Action manifests for the USB T-Shirt launcher project, such as building and running Docker images, creating and managing deployments, etc.","Provide at least three examples of how ChatGPT can be used to generate and modify Dockerfiles and GitHub Action manifests for the USB T-Shirt launcher project, such as building and running Docker images, creating and managing deployments, etc.","Chapter Deployment,Key Result 1,Level 1",,Chapter - Deployment Completion
"Provide at least two exercises for the readers to practice using ChatGPT to create and deploy Docker containers (if applicable) and multiple targets for the USB T-Shirt launcher project, based on the code changes and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to create and deploy Docker containers (if applicable) and multiple targets for the USB T-Shirt launcher project, based on the code changes and feedback.","Chapter Deployment,Key Result 2,Level 1",,Chapter - Deployment Completion
Ensure that the code is deployed to targets using CI/CD.,Ensure that the code is deployed to targets using CI/CD.,"Chapter Deployment,Key Result 3,Level 1",,Chapter - Deployment Completion
Research and review the existing literature and best practices on Docker and GitHub Actions and their applications in Python programming.,Research and review the existing literature and best practices on Docker and GitHub Actions and their applications in Python programming.,"Chapter Deployment,Key Initiative 1,Level 1",,Chapter - Deployment Completion
"Use ChatGPT to generate realistic and relevant examples of Dockerfiles and GitHub Action manifests for the USB T-Shirt launcher project, based on the code changes and feedback.","Use ChatGPT to generate realistic and relevant examples of Dockerfiles and GitHub Action manifests for the USB T-Shirt launcher project, based on the code changes and feedback.","Chapter Deployment,Key Initiative 2,Level 1",,Chapter - Deployment Completion
Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on deployment with ChatGPT.,Use ChatGPT to generate engaging and challenging exercises for the readers to apply their knowledge and skills on deployment with ChatGPT.,"Chapter Deployment,Key Initiative 3,Level 1",,Chapter - Deployment Completion
Use ChatGPT to generate deployment metrics.,Use ChatGPT to generate deployment metrics.,"Chapter Deployment,Key Initiative 4,Level 1",,Chapter - Deployment Completion
"Provide at least three examples of how ChatGPT can be used to generate and modify Prometheus metrics and Grafana dashboards for the USB T-Shirt launcher project, such as collecting and exposing metrics, querying and alerting on metrics, creating and customizing dashboards, etc.","Provide at least three examples of how ChatGPT can be used to generate and modify Prometheus metrics and Grafana dashboards for the USB T-Shirt launcher project, such as collecting and exposing metrics, querying and alerting on metrics, creating and customizing dashboards, etc.","Chapter Observability,Key Result 1,Level 1",,Chapter - Observability Completion
"Provide at least two exercises for the readers to practice using ChatGPT to create and use Prometheus metrics and Grafana dashboards for the USB T-Shirt launcher project, based on the performance goals and feedback.","Provide at least two exercises for the readers to practice using ChatGPT to create and use Prometheus metrics and Grafana dashboards for the USB T-Shirt launcher project, based on the performance goals and feedback.","Chapter Observability,Key Result 2,Level 1",,Chapter - Observability Completion
Ensure that the monitoring and dashboards provide the right feedback and incident management capabilities.,Ensure that the monitoring and dashboards provide the right feedback and incident management capabilities.,"Chapter Observability,Key Result 3,Level 1",,Chapter - Observability Completion
